product_id,product_name,brand,category,unit_cost,unit_price
1,the score,STANLEY,Hand Tools,145.16,249.41
2,situation every,PORTER CABLE,Accessories,138.21,56.6
3,be remain,CRAFTSMAN,Power Tools,80.4,68.54
4,wide card,PORTER CABLE,Hand Tools,121.32,115.45
5,likely ask,PORTER CABLE,Hand Tools,29.0,134.38
6,get only,BLACK+DECKER,Accessories,146.84,117.64
7,clear help,CRAFTSMAN,Hand Tools,145.01,233.82
8,thus decision,CRAFTSMAN,Hand Tools,32.92,47.15
9,capital my,CRAFTSMAN,Power Tools,51.92,118.34
10,no husband,PORTER CABLE,Power Tools,24.02,254.43
11,leader plan,STANLEY,Power Tools,48.04,38.7
12,forget meeting,CRAFTSMAN,Outdoor,124.23,283.86
13,popular suffer,BOSTITCH,Outdoor,62.96,296.17
14,a organization,PORTER CABLE,Power Tools,22.38,44.8
15,base both,BLACK+DECKER,Power Tools,57.91,101.56
16,nothing though,STANLEY,Outdoor,147.39,124.27
17,military article,BOSTITCH,Accessories,98.16,237.39
18,hotel husband,BOSTITCH,Hand Tools,68.26,186.86
19,foot writer,BLACK+DECKER,Hand Tools,33.32,200.42
20,only front,STANLEY,Power Tools,148.06,232.1
21,plan rest,PORTER CABLE,Accessories,124.92,53.03
22,car television,DEWALT,Outdoor,49.41,253.3
23,prepare return,STANLEY,Power Tools,19.81,217.57
24,listen technology,BLACK+DECKER,Accessories,17.93,181.66
25,feel especially,BOSTITCH,Accessories,26.85,269.13
26,meeting receive,PORTER CABLE,Accessories,91.31,216.09
27,beyond star,STANLEY,Outdoor,140.03,76.48
28,similar appear,DEWALT,Outdoor,79.54,140.33
29,exist approach,DEWALT,Hand Tools,128.01,158.33
30,condition true,CRAFTSMAN,Hand Tools,72.42,35.46
31,see small,CRAFTSMAN,Accessories,109.2,287.3
32,little about,BLACK+DECKER,Accessories,112.46,56.0
33,early develop,STANLEY,Outdoor,34.35,215.29
34,inside everything,STANLEY,Hand Tools,60.57,161.74
35,into day,BOSTITCH,Accessories,99.22,27.18
36,answer heart,BOSTITCH,Hand Tools,19.9,278.93
37,claim memory,BOSTITCH,Hand Tools,60.62,258.51
38,statement team,CRAFTSMAN,Accessories,84.87,166.79
39,whatever support,STANLEY,Outdoor,149.47,84.1
40,many glass,STANLEY,Accessories,76.43,54.05
41,local so,DEWALT,Accessories,124.25,121.75
42,give like,CRAFTSMAN,Hand Tools,70.49,91.52
43,international sit,PORTER CABLE,Accessories,121.49,161.87
44,reason turn,CRAFTSMAN,Outdoor,93.36,290.59
45,front since,PORTER CABLE,Accessories,134.12,180.99
46,century thank,DEWALT,Outdoor,67.53,269.18
47,matter again,BLACK+DECKER,Outdoor,94.6,202.25
48,instead yet,STANLEY,Hand Tools,98.2,153.07
49,wall affect,DEWALT,Power Tools,68.43,259.29
50,once they,STANLEY,Power Tools,30.2,151.98
51,relate world,BOSTITCH,Hand Tools,23.1,263.22
52,former different,BLACK+DECKER,Accessories,12.33,101.64
53,two ever,BLACK+DECKER,Hand Tools,132.29,56.07
54,letter various,DEWALT,Outdoor,43.11,259.49
55,kitchen clear,BLACK+DECKER,Power Tools,39.61,184.48
56,technology myself,PORTER CABLE,Hand Tools,113.04,268.95
57,pattern world,BLACK+DECKER,Accessories,54.8,282.59
58,perhaps fear,STANLEY,Hand Tools,80.85,35.02
59,institution stock,STANLEY,Power Tools,32.75,160.27
60,practice quickly,STANLEY,Hand Tools,144.36,124.99
61,look event,STANLEY,Hand Tools,129.22,195.24
62,face buy,PORTER CABLE,Power Tools,130.93,242.21
63,field story,CRAFTSMAN,Outdoor,66.95,98.57
64,contain science,BOSTITCH,Outdoor,116.73,175.9
65,these close,DEWALT,Power Tools,30.14,218.44
66,leave what,STANLEY,Hand Tools,11.21,57.64
67,house because,BLACK+DECKER,Power Tools,12.8,247.94
68,within receive,STANLEY,Outdoor,92.12,189.71
69,foot difficult,BLACK+DECKER,Accessories,73.76,285.87
70,card work,BOSTITCH,Hand Tools,82.52,115.07
71,involve fact,BOSTITCH,Outdoor,11.04,50.28
72,finish middle,BOSTITCH,Hand Tools,69.18,161.82
73,tree best,BLACK+DECKER,Power Tools,110.53,44.03
