inventory_id,product_id,movement_type,movement_qty,movement_date
1,4060,IN,69,2024-11-08
2,3042,IN,88,2023-04-08
3,4301,OUT,92,2024-02-18
4,1842,OUT,12,2024-05-15
5,1562,IN,66,2024-02-08
6,3668,OUT,69,2023-02-08
7,1411,IN,25,2023-05-11
8,3059,IN,88,2023-12-01
9,223,OUT,51,2023-11-08
10,772,IN,60,2024-05-02
11,4037,OUT,35,2024-08-11
12,4506,OUT,29,2023-03-28
13,4497,IN,19,2024-06-16
14,572,OUT,85,2024-01-20
15,3662,OUT,59,2023-12-03
16,4945,IN,14,2023-05-16
17,4054,IN,61,2023-12-22
18,703,IN,47,2023-01-04
19,3275,OUT,39,2024-09-26
20,2023,IN,52,2024-02-01
21,2253,OUT,3,2024-12-04
22,101,OUT,21,2023-06-15
23,526,OUT,23,2023-05-28
24,579,OUT,12,2024-05-24
25,943,OUT,48,2024-03-07
26,737,IN,3,2024-12-04
27,2772,IN,23,2023-05-04
28,639,IN,90,2024-06-14
29,4698,OUT,32,2023-12-03
30,4551,OUT,19,2024-02-25
31,623,OUT,76,2024-05-18
32,909,IN,36,2024-07-05
33,4030,IN,7,2024-07-28
34,4819,OUT,99,2024-08-22
35,3784,IN,60,2023-10-09
36,2236,OUT,25,2024-03-03
37,4152,OUT,49,2024-08-06
38,4276,IN,65,2024-11-09
39,4198,IN,66,2024-07-02
40,70,IN,51,2024-12-30
41,2463,OUT,11,2024-12-13
42,4447,IN,97,2024-12-28
43,495,IN,18,2024-12-26
44,3316,OUT,41,2024-03-27
45,722,OUT,34,2024-05-05
46,2466,OUT,45,2024-01-15
47,2429,IN,69,2024-04-18
48,3571,IN,11,2023-01-13
49,254,IN,38,2024-02-27
50,4565,IN,87,2023-05-21
51,591,IN,53,2023-04-30
52,55,OUT,58,2024-10-04
53,504,OUT,83,2024-06-30
54,1491,OUT,87,2023-10-29
55,4784,OUT,8,2023-03-19
56,1241,IN,45,2023-10-05
57,4806,OUT,48,2023-06-17
58,2885,OUT,46,2023-03-03
59,4749,OUT,10,2024-01-12
60,4672,OUT,30,2024-10-13
61,593,IN,56,2024-04-13
62,4779,OUT,56,2024-05-14
63,252,OUT,81,2023-08-22
64,4944,OUT,30,2024-07-14
65,1833,IN,58,2023-09-21
66,1252,IN,40,2024-06-20
67,4835,IN,87,2023-10-29
68,411,OUT,46,2023-06-22
69,4831,IN,89,2024-05-16
70,4048,IN,19,2023-12-22
71,1208,OUT,39,2023-10-08
72,1659,OUT,31,2024-08-21
73,2930,IN,11,2024-11-13
74,203,IN,3,2024-06-04
75,4351,IN,17,2023-10-24
76,266,OUT,47,2023-04-05
77,3016,OUT,86,2023-11-03
78,4378,OUT,29,2023-08-19
79,1246,IN,18,2024-04-14
80,1553,IN,40,2023-05-09
81,3865,IN,8,2023-06-13
82,2096,OUT,67,2023-03-07
83,4501,IN,50,2023-04-12
84,3894,IN,5,2023-09-07
85,4456,IN,79,2024-04-18
86,4666,OUT,24,2023-06-12
87,2365,OUT,19,2023-11-06
88,2578,IN,27,2023-01-14
89,2015,OUT,88,2024-01-11
90,1083,OUT,53,2024-06-07
91,4665,IN,36,2024-06-15
92,4956,IN,42,2023-10-12
93,2573,IN,30,2024-06-27
94,4427,IN,15,2024-08-01
95,1241,IN,71,2024-05-17
96,592,IN,25,2023-04-09
97,820,OUT,53,2024-10-05
98,1299,OUT,72,2024-03-04
99,4917,OUT,58,2024-07-15
100,3720,IN,48,2024-06-05
101,4708,IN,7,2024-11-16
102,2999,OUT,7,2024-09-01
103,4153,IN,8,2023-02-21
104,2472,IN,51,2024-05-17
105,2356,OUT,93,2023-02-09
106,528,IN,71,2024-09-10
107,3316,IN,90,2023-03-18
108,1200,IN,88,2023-03-02
109,1803,IN,51,2024-01-20
110,3081,OUT,60,2024-02-17
111,736,OUT,33,2024-01-07
112,4786,OUT,87,2023-06-21
113,4843,IN,12,2023-01-20
114,2385,IN,79,2023-08-14
115,1959,OUT,40,2024-07-31
116,1520,IN,58,2024-04-14
117,2125,IN,43,2024-03-04
118,4453,IN,57,2023-10-09
119,67,OUT,69,2024-02-01
120,1681,IN,48,2023-05-21
121,1500,OUT,77,2023-06-01
122,4041,IN,81,2024-10-03
