review_id,product_id,rating,review_date
1,3740,3,2024-07-09
2,1155,3,2023-04-09
3,1407,1,2024-05-31
4,3708,1,2024-02-23
5,176,2,2023-10-19
6,4934,2,2024-10-30
7,1415,3,2024-09-27
8,3489,3,2024-07-30
9,2660,1,2023-01-17
10,2024,5,2023-03-12
11,2927,4,2023-11-26
12,2965,5,2023-08-22
13,2726,4,2023-08-28
14,551,3,2024-02-06
15,963,1,2023-05-07
16,1109,2,2023-08-21
17,2302,2,2024-07-14
18,2330,1,2023-05-18
19,872,4,2024-07-06
20,1736,5,2023-11-16
21,4037,2,2024-08-25
22,4049,1,2024-07-10
23,2333,2,2023-04-23
24,662,4,2024-03-16
25,4669,2,2024-03-16
26,4475,5,2024-01-01
27,4266,2,2024-12-26
28,26,4,2023-07-04
29,3840,5,2023-05-21
30,1663,2,2024-08-20
31,985,4,2023-01-19
32,719,5,2024-02-25
33,2671,5,2024-08-19
34,2067,4,2023-06-18
35,1465,3,2024-11-16
36,1973,4,2024-04-06
37,629,5,2023-04-19
38,2879,1,2023-06-09
39,258,5,2024-04-13
40,256,4,2024-10-01
41,4822,2,2024-09-22
42,3986,5,2024-09-15
43,1376,4,2024-06-26
44,1390,3,2023-02-25
45,3700,2,2024-10-16
46,2389,3,2023-09-03
47,4867,3,2023-05-12
48,3747,2,2024-09-21
49,4365,4,2023-09-30
50,3078,4,2023-03-31
51,4334,5,2023-05-24
52,4509,3,2023-06-20
53,2337,4,2024-04-22
54,3964,3,2024-11-23
55,2505,2,2024-06-26
56,3845,2,2024-08-30
57,3794,5,2024-01-18
58,4561,4,2024-04-25
59,1219,3,2023-03-22
60,3913,4,2024-10-05
61,2751,5,2024-08-30
62,4505,4,2024-07-06
63,3178,4,2023-03-04
64,2944,2,2024-10-04
65,4536,2,2023-06-17
66,3120,1,2024-06-05
67,4090,3,2024-07-12
68,3536,4,2023-09-19
69,3637,1,2024-05-07
70,695,3,2023-12-26
71,2941,4,2023-12-31
72,2084,4,2024-06-07
73,2089,1,2023-12-12
74,1825,2,2023-02-27
75,2958,5,2023-07-20
76,4126,1,2023-10-13
77,1264,1,2024-06-13
78,2945,5,2023-10-23
79,4460,2,2024-11-28
80,3470,2,2024-10-07
81,75,2,2023-07-09
82,178,1,2024-10-18
83,4110,4,2024-04-13
84,2009,1,2024-07-08
85,3656,5,2024-07-25
86,18,3,2023-05-09
87,4085,5,2024-09-30
88,475,2,2024-07-12
89,4059,3,2024-08-25
90,2571,1,2024-07-10
91,4622,5,2023-08-27
92,3395,5,2024-04-24
93,4684,1,2023-03-05
94,4809,5,2023-04-28
95,48,3,2024-05-12
96,3340,4,2023-02-21
97,4448,4,2023-02-08
98,1615,2,2024-08-30
99,4857,1,2023-10-16
100,4668,4,2023-06-19
101,2043,4,2023-06-29
102,3750,1,2024-01-05
103,605,1,2024-05-10
104,1100,2,2023-03-01
105,231,4,2024-12-28
106,4504,5,2023-05-24
107,1223,2,2024-10-17
108,3083,5,2023-12-15
109,3982,2,2024-06-21
110,946,4,2024-09-30
111,3063,1,2023-12-09
112,1022,4,2024-10-11
113,1471,1,2023-07-01
114,2091,5,2024-03-09
115,4783,2,2024-12-29
116,4058,2,2023-01-31
117,769,1,2024-06-30
118,2221,1,2023-12-02
119,536,2,2023-07-25
120,1051,4,2023-03-28
121,1749,3,2023-01-07
122,4807,5,2023-01-21
123,3345,1,2024-08-02
124,638,3,2023-06-07
125,4306,2,2024-02-03
126,1108,1,2024-05-05
127,57,3,2023-06-21
128,4697,2,2023-12-15
129,3336,1,2024-09-25
130,3088,2,2023-06-27
131,569,3,2024-05-22
132,1541,4,2023-02-12
133,1208,4,2024-07-30
134,3695,1,2024-09-07
135,4722,3,2023-09-30
136,1070,3,2024-06-16
137,1987,4,2023-09-24
138,1788,3,2023-09-18
139,1749,5,2024-06-14
140,2708,3,2023-05-16
141,497,1,2024-11-01
142,4522,3,2024-09-09
143,3177,2,2023-05-06
144,279,3,2023-05-17
145,3561,5,2023-09-11
146,4718,4,2024-12-11
147,1953,5,2023-08-15
148,1949,4,2023-10-09
149,4585,2,2024-04-22
150,2821,4,2023-09-26
151,4104,4,2023-10-31
152,4731,1,2024-05-12
153,2751,2,2023-03-11
154,3449,4,2024-11-16
155,2217,4,2024-10-08
156,2618,2,2024-03-12
157,3293,3,2023-06-15
158,3939,3,2023-12-06
159,3352,1,2024-10-14
160,420,1,2023-07-06
161,4462,4,2023-12-14
162,2234,3,2024-01-26
163,2297,2,2024-05-14
164,1270,4,2024-02-06
165,4833,4,2023-06-22
166,4721,5,2024-04-12
167,2991,1,2023-07-26
168,2005,5,2024-08-31
169,4179,2,2024-08-06
170,2016,2,2023-05-20
171,234,3,2024-01-13
172,1158,5,2024-03-19
173,2852,2,2023-01-20
174,3300,5,2024-07-24
175,4506,3,2024-10-02
176,393,4,2023-11-05
177,550,5,2024-09-05
178,1512,1,2023-08-17
179,2777,4,2023-11-06
180,99,1,2023-02-28
181,3322,5,2024-04-13
182,4146,5,2024-06-03
183,3556,2,2024-03-04
184,1591,2,2024-08-16
185,3206,4,2023-09-05
186,921,4,2024-06-17
187,4017,1,2023-03-30
188,3331,3,2024-06-27
189,3870,3,2023-07-18
190,2812,2,2024-10-29
191,4562,2,2023-10-28
192,3241,1,2023-06-21
193,2341,1,2024-01-28
194,866,5,2024-05-15
195,3699,4,2023-08-07
196,135,4,2023-02-25
197,974,5,2023-04-11
198,210,2,2023-05-16
199,4923,2,2023-12-08
200,2398,1,2023-08-03
201,1999,1,2024-01-09
202,813,5,2024-03-26
203,4113,2,2023-10-29
204,1481,2,2023-12-26
205,1314,4,2024-09-09
206,585,3,2023-12-13
207,2864,1,2024-01-28
208,2885,3,2024-05-23
209,1608,4,2023-02-25
210,4825,2,2023-03-08
211,1375,2,2024-02-06
212,587,1,2024-02-19
213,2031,3,2023-03-01
214,3172,1,2023-01-10
215,3710,1,2023-03-24
216,29,2,2024-10-08
217,385,4,2023-03-24
218,4630,2,2023-09-06
219,2482,1,2024-05-30
220,3901,3,2023-04-14
221,1848,2,2023-02-22
222,1921,2,2023-11-01
223,2230,3,2023-12-25
224,4199,3,2024-12-11
225,3508,4,2023-05-16
226,3583,4,2024-08-30
227,3603,3,2023-06-28
228,415,2,2024-02-03
229,1112,1,2023-07-17
230,777,1,2024-07-05
231,4073,4,2024-12-24
232,1075,4,2024-08-10
233,642,1,2023-08-17
234,4000,4,2023-04-20
235,3737,2,2023-08-11
236,968,5,2024-05-16
237,3997,4,2024-01-05
238,2054,2,2024-01-21
239,1060,4,2023-02-15
240,4866,3,2024-05-19
241,3206,1,2023-10-05
242,4419,4,2023-04-18
243,4703,4,2023-04-03
244,3171,4,2024-03-23
245,2638,5,2023-03-28
246,4397,5,2023-01-19
247,1320,5,2024-11-27
248,2703,3,2023-11-01
249,4918,4,2024-03-29
250,594,5,2024-09-04
251,592,2,2023-11-17
252,1604,4,2023-04-13
253,1857,1,2024-04-25
254,1664,1,2023-05-20
255,1281,4,2023-08-26
256,182,3,2024-11-27
257,3750,5,2024-11-24
258,3393,4,2024-05-30
259,1315,4,2024-05-25
260,2385,4,2023-02-01
261,568,3,2024-10-16
262,369,3,2023-06-16
263,855,4,2023-03-18
264,1702,1,2023-12-23
265,1289,2,2023-09-28
266,1855,4,2023-01-23
267,4205,3,2024-04-22
268,4808,3,2023-12-04
269,386,3,2024-06-05
270,3301,4,2023-01-01
271,1616,1,2023-05-22
272,3991,5,2024-01-17
273,141,1,2024-08-26
274,3379,2,2023-08-24
275,1112,3,2023-02-02
276,360,1,2023-01-20
277,1122,3,2024-07-12
278,3890,3,2023-02-12
279,2714,5,2023-05-12
280,93,5,2024-04-24
281,306,5,2023-05-15
282,4561,2,2024-02-20
283,2473,3,2024-11-17
284,4120,3,2023-11-06
285,64,1,2024-09-02
286,3841,1,2023-03-21
287,902,1,2024-11-05
288,2627,4,2023-09-05
289,2329,3,2024-07-08
290,2009,3,2023-05-06
291,3281,1,2023-05-14
292,4469,5,2024-11-08
293,229,5,2023-08-18
294,1184,1,2024-11-12
295,1550,2,2023-07-26
296,2653,1,2024-06-16
297,4696,3,2024-01-19
298,4175,3,2023-02-25
299,3564,5,2024-04-26
300,1585,4,2023-01-16
301,1932,2,2023-07-03
302,273,4,2024-06-20
303,1320,1,2023-11-21
304,2217,3,2023-05-29
305,431,3,2024-04-17
306,3877,5,2024-02-18
307,839,3,2023-07-19
308,3958,1,2024-01-13
309,2334,5,2024-04-29
310,3438,2,2024-08-14
311,2122,3,2023-10-07
312,2856,5,2023-05-16
313,2852,2,2023-05-10
314,1325,5,2024-01-25
315,3237,4,2023-11-04
316,4566,1,2023-02-09
317,4035,1,2023-06-01
318,2119,5,2024-04-12
319,961,2,2023-03-28
320,4819,4,2024-04-03
321,1143,5,2023-10-31
322,2331,1,2023-02-28
323,97,2,2023-12-21
324,2028,2,2024-05-07
325,3277,2,2023-07-23
326,4790,2,2024-09-27
327,1207,1,2023-05-08
328,2402,3,2024-11-06
329,2946,4,2024-09-11
330,712,3,2024-02-28
331,3509,5,2023-12-30
332,2124,4,2024-11-07
333,1467,2,2024-09-24
334,3717,1,2023-12-17
335,1004,2,2023-01-14
336,15,5,2023-10-14
337,4097,4,2023-08-21
338,2818,4,2023-02-15
339,249,4,2023-10-31
340,551,1,2024-03-06
341,1585,4,2023-03-16
342,367,5,2024-04-03
343,1853,1,2023-06-11
344,3052,5,2024-05-12
345,3491,3,2024-07-15
346,2446,2,2023-03-09
347,1000,4,2024-06-18
348,1399,2,2023-04-10
349,2817,1,2024-03-01
350,305,5,2024-04-04
351,592,1,2024-07-12
352,2399,2,2024-02-02
353,1030,2,2024-03-05
354,1132,3,2023-05-22
355,1723,3,2023-03-07
356,2123,1,2023-01-20
357,687,3,2024-06-13
358,566,4,2023-03-24
359,4596,1,2024-05-03
360,2201,4,2023-05-23
361,3566,3,2023-07-19
362,4139,3,2023-08-04
363,3781,5,2024-08-29
364,765,5,2024-07-05
365,2603,5,2024-07-21
366,206,4,2024-03-27
367,4854,2,2024-08-01
368,628,2,2023-04-30
369,2822,4,2024-06-18
370,4762,2,2023-05-21
371,4495,5,2023-07-15
372,1608,4,2023-10-06
373,4140,1,2023-11-15
374,4316,2,2024-08-31
375,3036,1,2024-04-20
376,290,5,2024-11-09
377,1897,1,2023-04-10
378,3281,3,2023-07-30
379,1572,5,2024-02-14
380,4406,5,2023-01-22
381,145,1,2024-08-15
382,935,2,2023-03-17
383,1686,2,2024-12-03
384,4886,4,2023-02-27
385,1954,1,2023-09-23
386,1365,5,2023-05-24
387,1438,1,2024-01-28
388,3781,2,2024-08-28
389,320,5,2024-09-09
390,3665,5,2024-02-20
391,1649,4,2024-10-17
392,3005,4,2024-07-23
393,1987,3,2023-12-01
394,4524,1,2023-02-07
395,1461,3,2024-03-26
396,3203,2,2024-12-23
397,2472,4,2023-06-25
398,3015,1,2023-03-01
399,2773,3,2024-09-14
400,1826,2,2023-03-04
401,847,2,2024-12-25
402,243,4,2024-07-31
403,1946,4,2024-04-20
404,3260,4,2024-03-04
405,486,4,2023-10-05
406,1692,4,2024-12-20
407,2523,1,2023-12-15
408,2112,3,2023-09-27
409,333,5,2024-03-16
410,1284,3,2023-06-02
411,3886,1,2024-10-13
412,1205,1,2024-11-24
413,2927,5,2024-09-19
414,3723,1,2023-02-26
415,4262,2,2023-07-30
416,3874,2,2024-07-08
417,3629,4,2023-06-10
418,1201,2,2024-03-29
419,743,5,2023-04-30
420,3901,2,2024-05-26
421,246,5,2024-05-28
422,2050,4,2023-08-09
423,969,1,2023-05-19
424,293,2,2023-03-15
425,4195,3,2024-09-07
426,3600,3,2023-07-31
427,2991,2,2024-08-16
428,2147,3,2024-04-04
429,2785,3,2023-01-19
430,290,2,2024-08-24
431,779,4,2024-12-12
432,4335,2,2024-02-24
433,1087,4,2024-03-14
434,2629,2,2024-08-22
435,296,5,2023-06-14
436,2050,2,2023-12-29
437,102,4,2024-07-01
438,2520,5,2023-01-23
439,4279,2,2024-02-26
440,2617,3,2023-12-30
441,2454,5,2023-12-10
442,817,1,2024-05-27
443,3716,3,2023-08-15
444,4156,1,2024-09-17
445,2547,1,2024-08-07
446,2161,1,2024-02-26
447,3354,5,2023-02-22
448,3897,4,2024-12-11
449,2040,5,2023-06-18
450,396,2,2023-01-21
451,1190,2,2023-08-21
452,4886,4,2024-05-05
453,3481,3,2024-06-29
454,3865,4,2024-06-03
455,4511,3,2023-07-29
456,2287,4,2024-05-30
457,550,1,2023-02-24
458,1446,2,2024-10-31
459,2419,1,2024-09-01
460,3786,3,2024-07-23
461,2976,2,2024-11-24
462,1985,4,2023-10-07
463,1424,5,2023-12-26
464,1102,4,2024-05-19
465,117,3,2024-12-04
466,103,1,2023-04-07
467,4671,1,2023-04-27
468,3017,2,2024-04-03
469,1858,1,2024-07-06
470,4861,3,2023-04-27
471,4641,3,2024-04-09
472,3669,2,2024-06-16
473,2482,3,2024-05-07
474,103,5,2023-06-15
475,779,4,2023-10-19
476,1878,5,2024-09-15
477,984,5,2024-09-14
478,2312,1,2023-12-09
479,2684,5,2023-04-05
480,1543,2,2024-05-12
481,3571,5,2024-12-11
482,898,4,2023-06-04
483,4526,1,2023-11-23
484,1043,3,2023-11-24
485,474,3,2024-04-17
486,2126,5,2023-03-14
487,2201,2,2023-06-30
488,3861,4,2024-08-25
489,1341,3,2024-07-03
490,1453,2,2024-10-12
491,1202,2,2023-05-24
492,478,4,2023-04-06
493,4136,2,2024-07-22
494,3171,3,2023-12-18
495,4052,2,2023-12-04
496,3362,4,2023-01-30
497,3821,5,2023-04-04
498,798,5,2024-12-18
499,3069,1,2024-06-15
500,3640,4,2024-02-03
501,4862,2,2023-11-10
502,482,3,2024-10-21
503,3385,3,2024-07-17
504,2961,1,2023-08-10
505,662,2,2023-09-24
506,1309,4,2024-03-08
